0,0,26,2
0,0,46,2
0,0,12,2
1,1,31,2
1,1,22,2
1,1,26,2
2,2,47,2
2,2,7,2
2,2,20,2
3,3,45,2
3,3,19,2
3,3,32,2
4,4,26,2
4,4,15,2
4,4,3,2
5,5,9,2
5,5,29,2
5,5,40,2
6,6,41,2
6,6,32,2
6,6,14,2
7,7,46,2
7,7,49,2
7,7,2,2
8,8,44,2
8,8,36,2
8,8,0,2
9,9,45,2
9,9,5,2
9,9,33,2
10,10,2,2
10,10,33,2
10,10,26,2
11,11,38,2
11,11,14,2
11,11,45,2
12,12,2,2
12,12,32,2
12,12,43,2
13,13,25,2
13,13,29,2
13,13,27,2
14,14,11,2
14,14,46,2
14,14,42,2
15,15,49,2
15,15,45,2
15,15,21,2
16,16,33,2
16,16,20,2
16,16,37,2
17,17,29,2
17,17,38,2
17,17,35,2
18,18,49,2
18,18,38,2
18,18,25,2
19,19,32,2
19,19,42,2
19,19,38,2
20,20,44,2
20,20,41,2
20,20,33,2
21,21,33,2
21,21,23,2
21,21,8,2
22,22,49,2
22,22,39,2
22,22,3,2
23,23,24,2
23,23,19,2
23,23,38,2
24,24,9,2
24,24,6,2
24,24,29,2
25,25,49,2
25,25,20,2
25,25,42,2
26,26,28,2
26,26,15,2
26,26,31,2
27,27,40,2
27,27,22,2
27,27,12,2
28,28,36,2
28,28,29,2
28,28,7,2
29,29,35,2
29,29,48,2
29,29,24,2
30,30,17,2
30,30,31,2
30,30,12,2
31,31,45,2
31,31,24,2
31,31,8,2
32,32,5,2
32,32,15,2
32,32,16,2
33,33,38,2
33,33,43,2
33,33,36,2
34,34,49,2
34,34,14,2
34,34,11,2
35,35,31,2
35,35,18,2
35,35,22,2
36,36,5,2
36,36,1,2
36,36,40,2
37,37,30,2
37,37,46,2
37,37,17,2
38,38,48,2
38,38,33,2
38,38,42,2
39,39,1,2
39,39,4,2
39,39,39,2
40,40,36,2
40,40,11,2
40,40,13,2
41,41,11,2
41,41,38,2
41,41,47,2
42,42,30,2
42,42,42,2
42,42,18,2
43,43,15,2
43,43,5,2
43,43,3,2
44,44,21,2
44,44,44,2
44,44,31,2
45,45,19,2
45,45,49,2
45,45,44,2
46,46,5,2
46,46,49,2
46,46,30,2
47,47,49,2
47,47,44,2
47,47,15,2
48,48,16,2
48,48,27,2
48,48,48,2
49,49,3,2
49,49,36,2
49,49,12,2
